Country,RankInCountry,StockCode,Description,TotalQty,Revenue
Lebanon,3,22922,FRIDGE MAGNETS US DINER ASSORTED,12,10.2
Lebanon,3,22957,SET 3 PAPER VINTAGE CHICK PAPER EGG,12,35.4
Lebanon,3,22960,JAM MAKING SET WITH JARS,12,45.0
Lebanon,3,22966,GINGERBREAD MAN COOKIE CUTTER,12,15.0
Lebanon,3,82551,LAUNDRY 15C METAL SIGN,12,17.4
Lebanon,3,82552,WASHROOM METAL SIGN,12,17.4
Lebanon,3,82600,NO SINGING METAL SIGN,12,25.2
Lithuania,1,22271,FELTCRAFT DOLL ROSIE,108,280.2
Lithuania,1,22306,SILVER MUG BONE CHINA TREE OF LIFE,108,178.2
Lithuania,1,22307,GOLD MUG BONE CHINA TREE OF LIFE,108,178.2
Malta,1,72741,GRAND CHOCOLATECANDLE,153,207.45
Malta,2,85178,VICTORIAN SEWING KIT,144,122.4
Malta,3,21790,VINTAGE SNAP CARDS,72,51.84
Netherlands,1,35961,FOLKART ZINC HEART CHRISTMAS DEC,6697,4868.77
Netherlands,2,22630,DOLLY GIRL LUNCH BOX,6522,10797.9
Netherlands,3,22629,SPACEBOY LUNCH BOX,6460,10696.2
Nigeria,1,16156S,WRAP PINK FAIRY CAKES,25,10.5
Nigeria,1,22047,EMPIRE GIFT WRAP,25,10.5
Nigeria,3,84991,60 TEATIME FAIRY CAKE CASES,24,13.2
Norway,1,16008,SMALL FOLDING SCISSOR(POINTED EDGE),576,69.12
Norway,2,22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,504,538.8
Norway,3,84050,PINK HEART SHAPE EGG FRYING PAN,446,591.9
Poland,1,21232,STRAWBERRY CERAMIC TRINKET BOX,264,316.32
Poland,2,37448,CERAMIC CAKE DESIGN SPOTTED MUG,204,280.92
Poland,3,16016,LARGE CHINESE STYLE SCISSOR,120,102.0
Poland,3,22961,JAM MAKING SET PRINTED,120,174.0
Portugal,1,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,340,679.9
Portugal,2,20728,LUNCH BAG CARS BLUE,335,552.75
Portugal,3,84991,60 TEATIME FAIRY CAKE CASES,290,143.9
RSA,1,20974,12 PENCILS SMALL TUBE SKULL,24,15.6
RSA,1,21889,WOODEN BOX OF DOMINOES,24,30.0
RSA,3,20972,PINK CREAM FELT CRAFT TRINKET BOX,12,15.0
RSA,3,20981,12 PENCILS TALL TUBE WOODLAND,12,10.2
RSA,3,21058,PARTY INVITES WOODLAND,12,10.2
RSA,3,21077,SET/20 WOODLAND PAPER NAPKINS,12,10.2
RSA,3,21085,SET/6 WOODLAND PAPER CUPS,12,7.8
RSA,3,21091,SET/6 WOODLAND PAPER PLATES,12,10.2
RSA,3,21125,SET 6 FOOTBALL CELEBRATION CANDLES,12,15.0
RSA,3,21126,SET OF 6 GIRLS CELEBRATION CANDLES,12,15.0
RSA,3,21207,SKULL AND CROSSBONES  GARLAND,12,19.8
RSA,3,21210,SET OF 72 RETRO SPOT PAPER  DOILIES,12,17.4
RSA,3,21544,SKULLS  WATER TRANSFER TATTOOS,12,10.2
RSA,3,21679,SKULLS  STICKERS,12,10.2
RSA,3,21680,WOODLAND  STICKERS,12,10.2
RSA,3,21747,SMALL SKULL WINDMILL,12,15.0
RSA,3,21791,VINTAGE HEADS AND TAILS CARD GAME,12,15.0
RSA,3,21988,PACK OF 6 SKULL PAPER PLATES,12,10.2
RSA,3,21989,PACK OF 20 SKULL PAPER NAPKINS,12,10.2
RSA,3,22074,6 RIBBONS SHIMMERING PINKS,12,19.8
RSA,3,22075,6 RIBBONS ELEGANT CHRISTMAS,12,19.8
RSA,3,22076,6 RIBBONS EMPIRE,12,19.8
RSA,3,22127,PARTY CONES CARNIVAL ASSORTED,12,15.0
RSA,3,22128,PARTY CONES CANDY ASSORTED,12,15.0
RSA,3,22147,FELTCRAFT BUTTERFLY HEARTS,12,17.4
RSA,3,22329,ROUND CONTAINER SET OF 5 RETROSPOT,12,19.8
RSA,3,22585,PACK OF 6 BIRDY GIFT TAGS,12,15.0
RSA,3,22620,4 TRADITIONAL SPINNING TOPS,12,17.4
RSA,3,22915,ASSORTED BOTTLE TOP  MAGNETS,12,5.04
RSA,3,84375,SET OF 20 KIDS COOKIE CUTTERS,12,25.2
RSA,3,85049A,TRADITIONAL CHRISTMAS RIBBONS,12,15.0
RSA,3,85049B,LUSH GREENS RIBBONS,12,15.0
RSA,3,85049D,BRIGHT BLUES RIBBONS,12,15.0
RSA,3,85049E,SCANDINAVIAN REDS RIBBONS,12,15.0
RSA,3,85049F,BABY BOOM RIBBONS,12,15.0
RSA,3,85049H,URBAN BLACK RIBBONS,12,15.0
Saudi Arabia,1,22553,PLASTERS IN TIN SKULLS,12,19.8
Saudi Arabia,1,22555,PLASTERS IN TIN STRONGMAN,12,19.8
Saudi Arabia,1,22556,PLASTERS IN TIN CIRCUS PARADE,12,19.8
Saudi Arabia,1,22915,ASSORTED BOTTLE TOP  MAGNETS,12,5.04
Saudi Arabia,1,22969,HOMEMADE JAM SCENTED CANDLES,12,17.4
Singapore,1,22339,CHRISTMAS TREE PAINTED ZINC,384,176.64
Singapore,2,22343,PARTY PIZZA DISH RED RETROSPOT,240,160.56
Singapore,3,22197,SMALL POPCORN HOLDER,212,154.2
Spain,1,22670,FRENCH WC SIGN BLUE METAL,1788,2016.12
Spain,2,22341,LOVE GARLAND PAINTED ZINC,1728,2620.8
Spain,3,84879,ASSORTED COLOUR BIRD ORNAMENT,1009,1628.41
Sweden,1,16033,MINI HIGHLIGHTER PENS,5760,518.4
Sweden,2,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,4368,1105.44
Sweden,3,22492,MINI PAINT SET VINTAGE,4248,2761.2
Switzerland,1,22554,PLASTERS IN TIN WOODLAND ANIMALS,912,1408.8
Switzerland,2,22326,ROUND SNACK BOXES SET OF4 WOODLAND,762,2075.1
Switzerland,3,22551,PLASTERS IN TIN SPACEBOY,672,1051.2
Thailand,1,85017A,ENVELOPE 50 ROMANTIC IMAGES,288,120.96
Thailand,1,85017B,ENVELOPE 50 BLOSSOM IMAGES,288,120.96
Thailand,1,85017C,ENVELOPE 50 CURIOUS IMAGES,288,120.96
USA,1,21355,TOAST ITS - I LOVE YOU,408,452.4
USA,2,21212,PACK OF 72 RETRO SPOT CAKE CASES,120,66.0
USA,3,21213,PACK OF 72 SKULL CAKE CASES,96,52.8
USA,3,21976,PACK OF 60 MUSHROOM CAKE CASES,96,52.8
United Arab Emirates,1,84568,GIRLS ALPHABET IRON ON PATCHES,288,60.48
United Arab Emirates,1,84598,BOYS ALPHABET IRON ON PATCHES,288,60.48
United Arab Emirates,3,21700,BIG DOUGHNUT FRIDGE MAGNETS,192,163.2
United Kingdom,1,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,100720,22747.5
United Kingdom,2,85123A,WHITE HANGING HEART T-LIGHT HOLDER,86327,232828.71
United Kingdom,3,23843,"PAPER CRAFT , LITTLE BIRDIE",80995,168469.6
Unspecified,1,84991,60 TEATIME FAIRY CAKE CASES,144,79.2
Unspecified,2,16033,MINI HIGHLIGHTER PENS,120,14.4
Unspecified,3,21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,83,211.65
West Indies,1,17003,BROCADE RING PURSE,36,7.56
West Indies,2,17084J,LOVE POTION MASALA INCENSE,25,5.25
West Indies,3,17096,ASSORTED LAQUERED INCENSE HOLDERS,24,5.04
West Indies,3,20886,BOX OF 9 PEBBLE CANDLES,24,46.8
West Indies,3,22444,GROW YOUR OWN PLANT IN A CAN,24,30.0
