CustomerID,StreakStart,StreakEnd,ConsecutiveGrowthMonths,SpendInStreak
16839,2010-08,2010-10,3,2669.5
16242,2011-06,2011-11,3,2661.4
15057,2010-03,2011-01,3,2593.36
15514,2010-09,2010-12,3,2572.85
17365,2010-05,2010-10,3,2536.15
15694,2011-05,2011-10,3,2520.76
12360,2010-05,2011-05,3,2516.41
16563,2010-06,2010-11,3,2493.6
15179,2010-10,2011-01,3,2485.86
12989,2010-02,2010-04,3,2481.8
17679,2010-03,2011-09,3,2458.6
15805,2011-06,2011-10,3,2442.38
16081,2011-03,2011-09,3,2434.32
13319,2011-04,2011-06,3,2388.36
12857,2010-04,2010-09,3,2377.0
16103,2010-06,2010-08,3,2369.69
12841,2010-09,2010-11,3,2355.9
13979,2010-03,2010-11,3,2342.58
17146,2010-06,2010-08,3,2326.51
14461,2010-03,2010-07,3,2315.18
13050,2010-08,2010-10,3,2313.28
13263,2011-08,2011-10,3,2298.45
12867,2011-06,2011-11,3,2298.28
14593,2010-03,2010-11,3,2294.27
13488,2011-08,2011-10,3,2292.15
12913,2010-05,2010-11,3,2278.01
14505,2010-03,2010-06,3,2275.84
16279,2010-06,2010-08,3,2265.12
16186,2011-07,2011-10,3,2246.79
13115,2010-06,2010-11,3,2240.88
14625,2010-08,2010-11,3,2229.83
16746,2011-04,2011-07,3,2213.77
13137,2011-09,2011-11,3,2192.66
16986,2010-05,2011-11,3,2187.4
15805,2010-08,2010-10,3,2175.68
15443,2011-09,2011-11,3,2172.6
15633,2010-01,2010-03,3,2153.64
13136,2011-05,2011-09,3,2148.08
13464,2010-08,2010-11,3,2123.62
15078,2010-03,2010-05,3,2107.82
14700,2010-10,2011-06,3,2097.19
12474,2010-07,2010-09,3,2085.13
12720,2011-09,2011-11,3,2084.76
15812,2010-03,2010-06,3,2069.74
13451,2011-03,2011-08,3,2061.9
16814,2011-03,2011-05,3,2052.75
15218,2011-05,2011-07,3,2050.54
16712,2011-08,2011-11,3,2047.28
17567,2011-07,2011-10,3,2039.51
13317,2011-04,2011-10,3,2035.63
17858,2010-07,2010-09,3,2032.02
14667,2011-04,2011-06,3,2028.42
12836,2010-10,2011-02,3,2019.69
12840,2010-06,2011-04,3,2019.27
15971,2010-10,2011-02,3,2018.7
17739,2010-08,2010-11,3,2000.84
12782,2010-09,2010-11,3,1999.22
15555,2011-09,2011-11,3,1985.23
15547,2010-08,2010-11,3,1980.99
14849,2011-04,2011-06,3,1969.62
16710,2010-10,2010-12,3,1926.44
13468,2011-02,2011-04,3,1913.27
14525,2010-04,2010-08,3,1900.47
15867,2010-02,2010-04,3,1899.75
15722,2011-06,2011-11,3,1898.51
13985,2010-05,2010-10,3,1881.73
14817,2010-07,2010-11,3,1862.14
15410,2011-03,2011-05,3,1800.89
17449,2010-10,2010-12,3,1796.43
12562,2011-10,2011-12,3,1787.87
15569,2010-04,2010-10,3,1762.77
16523,2010-04,2010-10,3,1762.73
13969,2011-04,2011-06,3,1741.8
16150,2010-07,2010-12,3,1741.67
14527,2011-05,2011-07,3,1737.34
13267,2011-08,2011-11,3,1732.7
14530,2010-03,2010-06,3,1721.75
14415,2011-08,2011-10,3,1718.08
16218,2010-09,2010-12,3,1713.39
14388,2011-08,2011-11,3,1712.88
13842,2010-09,2010-12,3,1710.55
12619,2011-03,2011-07,3,1709.34
16571,2010-08,2010-11,3,1709.05
13999,2010-02,2010-05,3,1707.91
14555,2010-05,2010-11,3,1700.84
15529,2011-05,2011-09,3,1697.28
13183,2010-06,2010-09,3,1697.26
18109,2010-10,2010-12,3,1693.01
16701,2010-05,2010-07,3,1677.48
15985,2010-08,2011-04,3,1676.54
14408,2011-04,2011-08,3,1645.71
15105,2010-10,2011-09,3,1642.14
17091,2010-11,2011-01,3,1636.7
16416,2010-10,2011-10,3,1633.99
15189,2010-10,2011-01,3,1630.59
17552,2010-09,2011-09,3,1608.48
15625,2010-08,2011-04,3,1586.2
16592,2010-04,2010-06,3,1586.08
14735,2010-01,2010-03,3,1578.35
18118,2011-09,2011-11,3,1573.56
16156,2010-06,2010-09,3,1573.0
13576,2010-09,2010-12,3,1561.15
15620,2010-12,2011-10,3,1553.18
15854,2010-07,2010-11,3,1552.34
12712,2011-02,2011-05,3,1546.2
12909,2010-05,2011-03,3,1543.86
13157,2011-04,2011-10,3,1543.4
16145,2010-07,2010-10,3,1542.03
13481,2010-07,2011-03,3,1535.52
14388,2010-10,2010-12,3,1532.81
12971,2010-01,2010-04,3,1527.7
16889,2010-11,2011-04,3,1527.05
17238,2011-10,2011-12,3,1520.42
15716,2010-08,2010-12,3,1502.74
12726,2011-06,2011-11,3,1497.82
17001,2010-08,2010-11,3,1485.86
15044,2011-04,2011-06,3,1483.17
14702,2010-11,2011-01,3,1482.87
16520,2010-04,2010-12,3,1479.95
16628,2011-07,2011-11,3,1475.14
13880,2011-06,2011-09,3,1474.39
14897,2010-04,2010-10,3,1473.0
17696,2011-03,2011-07,3,1464.17
18022,2010-10,2011-11,3,1452.98
17469,2010-04,2010-07,3,1449.04
15015,2010-02,2010-04,3,1426.54
16153,2011-06,2011-10,3,1422.32
15632,2011-07,2011-10,3,1422.3
16592,2011-05,2011-07,3,1411.58
18061,2010-03,2010-05,3,1407.91
14496,2010-10,2010-12,3,1402.02
12755,2010-02,2010-07,3,1397.76
12553,2011-08,2011-11,3,1395.89
16400,2010-04,2010-07,3,1390.47
15658,2010-07,2010-12,3,1383.92
17682,2011-07,2011-11,3,1366.92
13611,2010-06,2010-11,3,1365.86
13230,2011-02,2011-04,3,1365.84
13761,2010-07,2011-10,3,1362.77
15518,2010-01,2010-05,3,1362.47
15858,2010-01,2010-06,3,1354.56
16201,2011-08,2011-11,3,1354.07
17873,2010-05,2010-08,3,1349.61
15752,2011-08,2011-10,3,1348.95
16497,2010-04,2010-06,3,1346.04
16607,2010-07,2010-10,3,1339.27
17091,2010-02,2010-06,3,1338.86
17978,2010-01,2010-12,3,1338.66
14688,2011-07,2011-09,3,1337.33
16950,2010-07,2010-10,3,1337.08
13750,2010-06,2010-11,3,1334.16
14543,2011-01,2011-03,3,1331.65
13434,2010-09,2011-09,3,1327.68
16477,2011-05,2011-10,3,1318.25
16814,2011-07,2011-09,3,1310.38
17754,2011-07,2011-11,3,1307.03
17920,2011-09,2011-11,3,1306.21
12594,2010-06,2010-10,3,1302.55
18178,2011-02,2011-08,3,1290.16
12395,2011-08,2011-11,3,1285.01
13929,2010-02,2010-05,3,1282.82
17191,2011-06,2011-11,3,1274.25
18122,2011-09,2011-11,3,1265.26
12951,2010-07,2010-11,3,1263.2
13426,2010-06,2010-09,3,1261.01
16823,2010-03,2010-10,3,1254.54
17646,2010-09,2010-12,3,1253.32
13029,2010-12,2011-11,3,1247.5
12872,2010-10,2010-12,3,1246.2
16393,2010-07,2010-11,3,1243.36
16493,2011-02,2011-09,3,1223.83
14191,2010-11,2011-06,3,1222.6
14035,2010-05,2010-10,3,1214.37
15549,2010-06,2011-01,3,1214.15
14584,2010-10,2011-06,3,1206.66
18077,2010-08,2010-12,3,1198.31
16905,2010-10,2010-12,3,1196.72
13203,2010-06,2010-10,3,1188.37
14621,2011-06,2011-11,3,1179.8
14702,2011-08,2011-10,3,1178.65
12836,2010-02,2010-04,3,1178.44
14511,2011-09,2011-11,3,1176.65
12935,2010-11,2011-05,3,1176.26
17512,2011-07,2011-10,3,1170.89
14395,2010-10,2010-12,3,1169.79
16912,2011-01,2011-05,3,1165.66
13214,2010-06,2010-09,3,1164.73
17402,2011-04,2011-08,3,1160.58
18106,2010-02,2011-01,3,1157.15
17231,2010-03,2010-05,3,1155.91
15443,2010-07,2011-01,3,1151.74
12747,2010-04,2010-06,3,1146.9
12955,2011-06,2011-09,3,1145.94
13648,2010-02,2010-08,3,1141.13
17191,2010-01,2010-06,3,1140.16
15854,2011-02,2011-05,3,1140.09
14262,2011-07,2011-09,3,1139.3
16700,2010-07,2010-09,3,1132.39
14211,2010-01,2010-06,3,1130.71
17288,2011-04,2011-11,3,1129.21
16634,2010-03,2010-11,3,1128.11
15380,2010-06,2010-12,3,1121.16
14276,2011-02,2011-09,3,1119.74
15339,2010-03,2010-10,3,1118.37
13813,2010-02,2010-06,3,1115.46
13756,2010-05,2010-09,3,1113.93
15796,2010-09,2010-11,3,1106.61
15719,2010-07,2010-09,3,1104.52
16103,2010-02,2010-04,3,1099.33
15172,2011-07,2011-12,3,1097.85
13643,2010-08,2010-11,3,1085.78
17218,2011-05,2011-11,3,1076.4
13875,2011-02,2011-06,3,1067.88
14550,2010-11,2011-11,3,1063.8
17211,2011-06,2011-11,3,1063.28
13650,2010-11,2011-05,3,1056.12
15822,2010-08,2011-12,3,1054.77
16625,2010-08,2010-10,3,1050.95
17388,2010-06,2010-10,3,1047.6
15325,2010-05,2010-11,3,1046.92
17346,2010-10,2010-12,3,1035.99
18220,2010-05,2010-09,3,1033.2
14704,2011-07,2011-10,3,1024.74
16470,2010-06,2010-09,3,1015.02
15329,2010-11,2011-07,3,1010.85
17228,2011-05,2011-10,3,1009.18
15272,2010-09,2011-10,3,1004.31
14189,2011-03,2011-05,3,990.58
15059,2010-06,2010-10,3,976.8
15312,2010-03,2010-09,3,975.45
18276,2010-10,2011-10,3,972.85
13249,2010-11,2011-09,3,965.09
14672,2010-07,2011-04,3,957.28
12872,2010-02,2010-05,3,946.2
17372,2010-09,2010-11,3,936.07
17884,2010-10,2010-12,3,934.86
16407,2011-05,2011-08,3,929.28
13862,2011-06,2011-08,3,928.99
15967,2010-02,2010-06,3,926.52
17262,2010-05,2010-08,3,926.4
14608,2010-07,2010-11,3,917.4
14560,2010-10,2010-12,3,911.0
13719,2011-05,2011-11,3,908.78
14099,2011-03,2011-06,3,906.54
14659,2011-06,2011-09,3,902.85
13662,2011-03,2011-09,3,897.76
16607,2011-04,2011-07,3,894.57
12576,2011-07,2011-11,3,894.18
16348,2011-08,2011-11,3,886.13
17908,2010-07,2010-12,3,885.92
17913,2010-06,2010-08,3,874.84
18177,2011-04,2011-07,3,868.77
14224,2011-01,2011-07,3,863.5
14651,2010-10,2011-05,3,860.92
17135,2010-08,2010-12,3,856.31
17576,2011-02,2011-04,3,852.06
16168,2011-03,2011-05,3,848.31
12600,2010-09,2010-11,3,828.46
15110,2011-08,2011-11,3,826.45
16949,2011-03,2011-06,3,819.33
15580,2010-08,2010-11,3,810.61
18151,2010-10,2011-07,3,809.45
16458,2011-04,2011-06,3,802.6
14810,2011-05,2011-08,3,787.53
16877,2011-07,2011-11,3,775.97
18149,2010-10,2011-05,3,774.28
13743,2011-05,2011-08,3,770.4
14898,2011-02,2011-07,3,755.6
16660,2010-09,2011-01,3,752.9
16895,2010-03,2010-09,3,751.89
16119,2010-10,2011-09,3,727.79
16225,2010-04,2010-08,3,716.47
17929,2011-02,2011-08,3,707.0
16719,2011-02,2011-07,3,703.25
18219,2011-04,2011-06,3,696.91
14157,2010-10,2011-02,3,694.22
14681,2010-03,2011-05,3,691.7
18135,2011-06,2011-11,3,681.91
13561,2010-04,2010-06,3,675.18
16241,2011-06,2011-08,3,673.91
16817,2011-04,2011-06,3,663.88
12523,2011-04,2011-08,3,656.31
15287,2010-09,2011-09,3,652.12
14878,2011-03,2011-06,3,649.13
15164,2010-07,2010-11,3,643.02
14942,2010-03,2010-11,3,637.21
17227,2010-09,2010-12,3,625.96
13711,2010-05,2011-05,3,608.95
14623,2011-04,2011-08,3,608.71
13026,2011-03,2011-09,3,604.2
13305,2011-03,2011-07,3,602.3
18036,2010-01,2010-07,3,600.78
15827,2011-05,2011-07,3,578.07
13487,2010-07,2011-05,3,576.32
16600,2011-09,2011-12,3,576.06
16774,2011-06,2011-08,3,542.2
17281,2010-05,2010-09,3,525.3
16905,2010-02,2010-04,3,516.46
13623,2011-04,2011-11,3,490.43
13104,2011-03,2011-09,3,477.24
13782,2010-08,2011-01,3,452.32
16948,2011-01,2011-07,3,435.02
17323,2010-10,2011-05,3,428.86
15920,2010-06,2011-07,3,407.15
13249,2010-03,2010-06,3,398.32
16321,2011-01,2011-09,3,373.65
16690,2010-11,2011-09,3,307.23
17961,2010-03,2010-05,3,301.62
16158,2010-02,2010-04,3,252.95
16668,2011-02,2011-06,3,196.74
